"name_anno","mmetsp_name_c","mmetsp_T2_significant","mmetsp_T4_significant","mmetsp_T6_significant","mmetsp_T8_significant","mmetsp_significant","any_sig_mmetsp","total_mmetsp","jgiset_name","T2_vs_T0_significant_J","T4_vs_T0_significant_J","T6_vs_T0_significant_J","T8_vs_T0_significant_J","significant_J","both_significant"
"10677","A0A6S8EJF9;A0A6S8EKS9","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE",FALSE,2,"10677",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"110565","A0A6S8FSY9;A0A6S8G6P9","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","TRUE;FALSE","TRUE;FALSE",TRUE,2,"110565",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"118949","A0A6S8C343;A0A6S8C0L7","TRUE;FALSE","TRUE;FALSE","TRUE;FALSE","TRUE;FALSE","TRUE;FALSE",TRUE,2,"118949",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
"134269","A0A6S8EYM7;A0A6S8EZT2","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE",FALSE,2,"134269",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"136606","A0A6S8EGA9;A0A6S8ESX9","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE",FALSE,2,"136606",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"137289","A0A6S8BZ08;A0A6S8C216","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE",FALSE,2,"137289",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"138238","A0A6S8DHR7;A0A6S8DHS0","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE",FALSE,2,"138238",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"138311","A0A6S8ARH1;A0A6S8AU37","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE",FALSE,2,"138311",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"138903","A0A6S8DMP4;A0A6S8DMD4","TRUE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","TRUE;FALSE",TRUE,2,NA,NA,NA,NA,NA,NA,NA
"139649","A0A6S8F2E2;A0A6S8F2H1","TRUE;TRUE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","TRUE;TRUE",TRUE,2,"139649",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"140822","A0A6S8CMC9;A0A6S8CST7","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE",FALSE,2,"140822",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"141672","A0A6S8EXY6;A0A6S8F057","TRUE;FALSE","FALSE;FALSE","FALSE;FALSE","TRUE;FALSE","TRUE;FALSE",TRUE,2,"141672",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"141833","A0A6S8DNJ7;A0A6S8DNY9;A0A6S8DPI3","FALSE;FALSE;FALSE","FALSE;FALSE;FALSE","FALSE;FALSE;FALSE","FALSE;FALSE;FALSE","FALSE;FALSE;FALSE",FALSE,3,"141833",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"142007","A0A6S8FDW9;A0A6S8FGV8","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE",FALSE,2,"142007",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"142419","A0A6S8FSW4;A0A6S8GDE0","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE",FALSE,2,NA,NA,NA,NA,NA,NA,NA
"142584","A0A6S8FY56;A0A6S8G188;A0A6S8GD25","FALSE;FALSE;FALSE","FALSE;FALSE;FALSE","FALSE;FALSE;FALSE","FALSE;FALSE;FALSE","FALSE;FALSE;FALSE",FALSE,3,"142584",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"142851","A0A6S8C6U1;A0A6S8C6V2","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE",FALSE,2,"142851",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"146303","A0A6S8F2R5;A0A6S8F667","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE",FALSE,2,"146303",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"148186","A0A6S8EUR2;A0A6S8F133","FALSE;FALSE","TRUE;FALSE","FALSE;FALSE","TRUE;FALSE","TRUE;FALSE",TRUE,2,NA,NA,NA,NA,NA,NA,NA
"149081","A0A6S8EBU5;A0A6S8E961","TRUE;FALSE","FALSE;FALSE","TRUE;FALSE","FALSE;FALSE","TRUE;FALSE",TRUE,2,"149081",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
"149380","A0A6S8C691;A0A6S8C3V9","TRUE;FALSE","TRUE;FALSE","TRUE;FALSE","TRUE;FALSE","TRUE;FALSE",TRUE,2,"149380",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"151155","A0A6S8AMW5;A0A6S8BPQ4","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE",FALSE,2,"151155",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"151245","A0A6S8DKN1;A0A6S8DKR7","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE",FALSE,2,"151245",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1846","A0A6S8EVU9;A0A6S8EWL5","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE",FALSE,2,"1846",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2807","A0A6S8F750;A0A6S8FW13","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE",FALSE,2,"2807",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"32308","A0A6S8BZW6;A0A6S8CIZ4","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE",FALSE,2,"32308",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"36581","A0A6S8BYG3;A0A6S8B3X8;A0A6S8DAW0","TRUE;FALSE;FALSE","TRUE;FALSE;FALSE","FALSE;FALSE;FALSE","FALSE;FALSE;FALSE","TRUE;FALSE;FALSE",TRUE,3,NA,NA,NA,NA,NA,NA,NA
"39134","A0A6S8EGP1;A0A6S8F3G7","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE",FALSE,2,"39134",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"42195","A0A6S8CCT2;A0A6S8CJB1","TRUE;FALSE","TRUE;FALSE","TRUE;FALSE","TRUE;TRUE","TRUE;TRUE",TRUE,2,"42195",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"46198","A0A6S8DSW7;A0A6S8DSX8;A0A6S8DTY1","FALSE;FALSE;FALSE","FALSE;FALSE;FALSE","FALSE;FALSE;FALSE","FALSE;FALSE;FALSE","FALSE;FALSE;FALSE",FALSE,3,"46198",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"46369","A0A6S8E3L8;A0A6S8E4D4","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE",FALSE,2,"46369",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"48848","A0A6S8G4J6;A0A6S8G9P2","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE",FALSE,2,NA,NA,NA,NA,NA,NA,NA
"6756","A0A6S8BYG0;A0A6S8CC33;A0A6S8DAE7","FALSE;FALSE;FALSE","FALSE;FALSE;FALSE","FALSE;FALSE;FALSE","FALSE;FALSE;FALSE","FALSE;FALSE;FALSE",FALSE,3,"6756",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"81024","A0A6S8B9I9;A0A6S8BEH6","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE",FALSE,2,"81024",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"82165","A0A6S8AKA7;A0A6S8DUM3","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE",FALSE,2,"82165",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"82177","A0A6S8F0Y0;A0A6S8FBM5","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE",FALSE,2,"82177",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"8356","A0A6S8C472;A0A6S8BS59","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","TRUE;FALSE","TRUE;FALSE",TRUE,2,"8356",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"9308","A0A6S8CAA9;A0A6S8CHK9","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE",FALSE,2,"9308",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"96374","A0A6S8B0J0;A0A6S8FBH9","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE",FALSE,2,"96374",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
